date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:58:01	16362/16362	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Sep%202018%2023:55:22%20GMT	https://preview.colorlib.com/theme/fashiop/checkout.html	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/checkout.html	(from https://preview.colorlib.com/theme/fashiop/)
05:58:02	15139/15139	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Sep%202018%2023:55:21%20GMT	https://preview.colorlib.com/theme/fashiop/cart.html	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/cart.html	(from https://preview.colorlib.com/theme/fashiop/)
05:58:03	12838/12838	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Sep%202018%2023:55:24%20GMT	https://preview.colorlib.com/theme/fashiop/confirmation.html	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/confirmation.html	(from https://preview.colorlib.com/theme/fashiop/)
05:58:04	20634/20634	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Sep%202018%2023:55:20%20GMT	https://preview.colorlib.com/theme/fashiop/blog.html	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/blog.html	(from https://preview.colorlib.com/theme/fashiop/)
05:58:05	21548/21548	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Sep%202018%2023:55:31%20GMT	https://preview.colorlib.com/theme/fashiop/single-blog.html	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/single-blog.html	(from https://preview.colorlib.com/theme/fashiop/)
05:58:06	10680/10680	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Sep%202018%2023:55:33%20GMT	https://preview.colorlib.com/theme/fashiop/tracking.html	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/tracking.html	(from https://preview.colorlib.com/theme/fashiop/)
05:58:06	33253/33253	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Sep%202018%2023:55:28%20GMT	https://preview.colorlib.com/theme/fashiop/elements.html	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/elements.html	(from https://preview.colorlib.com/theme/fashiop/)
05:58:07	65291/65291	---M--	200	added ('OK')	image/jpeg	etag:%22ff0b-574d825f31980%22	https://preview.colorlib.com/theme/fashiop/img/product/hot_deals/deal1.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/product/hot_deals/deal1.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:07	4446/4446	---M--	200	added ('OK')	image/png	etag:%22115e-574d816a19740%22	https://preview.colorlib.com/theme/fashiop/img/clients-logo/c-logo-1.png	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/clients-logo/c-logo-1.png	(from https://preview.colorlib.com/theme/fashiop/)
05:58:07	2695/2695	---M--	200	added ('OK')	image/png	etag:%22a87-574d816c01bc0%22	https://preview.colorlib.com/theme/fashiop/img/clients-logo/c-logo-2.png	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/clients-logo/c-logo-2.png	(from https://preview.colorlib.com/theme/fashiop/)
05:58:08	4072/4072	---M--	200	added ('OK')	image/png	etag:%22fe8-574d816cf5e00%22	https://preview.colorlib.com/theme/fashiop/img/clients-logo/c-logo-3.png	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/clients-logo/c-logo-3.png	(from https://preview.colorlib.com/theme/fashiop/)
05:58:10	3933/3933	---M--	200	added ('OK')	image/png	etag:%22f5d-574d816ede280%22	https://preview.colorlib.com/theme/fashiop/img/clients-logo/c-logo-4.png	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/clients-logo/c-logo-4.png	(from https://preview.colorlib.com/theme/fashiop/)
05:58:10	3500/3500	---M--	200	added ('OK')	image/png	etag:%22dac-574d8171ba940%22	https://preview.colorlib.com/theme/fashiop/img/clients-logo/c-logo-5.png	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/clients-logo/c-logo-5.png	(from https://preview.colorlib.com/theme/fashiop/)
05:58:11	30464/30464	---M--	200	added ('OK')	image/jpeg	etag:%227700-574d8254b40c0%22	https://preview.colorlib.com/theme/fashiop/img/product/feature-product/f-p-1.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/product/feature-product/f-p-1.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:11	34749/34749	---M--	200	added ('OK')	image/jpeg	etag:%2287bd-574d82569c540%22	https://preview.colorlib.com/theme/fashiop/img/product/feature-product/f-p-2.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/product/feature-product/f-p-2.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:12	28614/28614	---M--	200	added ('OK')	image/jpeg	etag:%226fc6-574d82569c540%22	https://preview.colorlib.com/theme/fashiop/img/product/feature-product/f-p-3.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/product/feature-product/f-p-3.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:13	27678/27678	---M--	200	added ('OK')	image/jpeg	etag:%226c1e-574d825790780%22	https://preview.colorlib.com/theme/fashiop/img/product/feature-product/f-p-4.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/product/feature-product/f-p-4.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:13	28955/28955	---M--	200	added ('OK')	image/jpeg	etag:%22711b-574d8258849c0%22	https://preview.colorlib.com/theme/fashiop/img/product/feature-product/f-p-5.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/product/feature-product/f-p-5.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:14	7297/7297	---M--	200	added ('OK')	image/jpeg	etag:%221c81-574d8198d4580%22	https://preview.colorlib.com/theme/fashiop/img/instagram/Image-01.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/instagram/Image-01.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:15	9515/9515	---M--	200	added ('OK')	image/jpeg	etag:%22252b-574d8198d4580%22	https://preview.colorlib.com/theme/fashiop/img/instagram/Image-02.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/instagram/Image-02.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:16	6837/6837	---M--	200	added ('OK')	image/jpeg	etag:%221ab5-574d819abca00%22	https://preview.colorlib.com/theme/fashiop/img/instagram/Image-03.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/instagram/Image-03.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:17	6537/6537	---M--	200	added ('OK')	image/jpeg	etag:%221989-574d819abca00%22	https://preview.colorlib.com/theme/fashiop/img/instagram/Image-04.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/instagram/Image-04.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:17	6532/6532	---M--	200	added ('OK')	image/jpeg	etag:%221984-574d819bb0c40%22	https://preview.colorlib.com/theme/fashiop/img/instagram/Image-05.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/instagram/Image-05.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:18	6314/6314	---M--	200	added ('OK')	image/jpeg	etag:%2218aa-574d819bb0c40%22	https://preview.colorlib.com/theme/fashiop/img/instagram/Image-06.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/instagram/Image-06.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:19	8612/8612	---M--	200	added ('OK')	image/jpeg	etag:%2221a4-574d819ca4e80%22	https://preview.colorlib.com/theme/fashiop/img/instagram/Image-07.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/instagram/Image-07.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:20	7781/7781	---M--	200	added ('OK')	image/jpeg	etag:%221e65-574d819ca4e80%22	https://preview.colorlib.com/theme/fashiop/img/instagram/Image-08.jpg	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/img/instagram/Image-08.jpg	(from https://preview.colorlib.com/theme/fashiop/)
05:58:21	19239/19239	---M-Z	200	added ('OK')	application/javascript	etag:%224b27-574d80f3d8040-gzip%22	https://preview.colorlib.com/theme/fashiop/js/popper.js	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/js/popper.js	(from https://preview.colorlib.com/theme/fashiop/)
05:58:21	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%2215283-574d80f0fb980-gzip%22	https://preview.colorlib.com/theme/fashiop/js/jquery-3.2.1.min.js	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/js/jquery-3.2.1.min.js	(from https://preview.colorlib.com/theme/fashiop/)
05:58:22	51041/51041	---M-Z	200	added ('OK')	application/javascript	etag:%22c761-574d80ef13500-gzip%22	https://preview.colorlib.com/theme/fashiop/js/bootstrap.min.js	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/fashiop/)
05:58:23	14985/14985	---M-Z	200	added ('OK')	application/javascript	etag:%223a89-574d80f3d8040-gzip%22	https://preview.colorlib.com/theme/fashiop/js/stellar.js	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/js/stellar.js	(from https://preview.colorlib.com/theme/fashiop/)
05:58:23	5527/5527	---M-Z	200	added ('OK')	application/javascript	etag:%221597-574d81d9ade80-gzip%22	https://preview.colorlib.com/theme/fashiop/vendors/lightbox/simpleLightbox.min.js	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/vendors/lightbox/simpleLightbox.min.js	(from https://preview.colorlib.com/theme/fashiop/)
05:58:24	2942/2942	---M-Z	200	added ('OK')	application/javascript	etag:%22b7e-574d828a1bec0-gzip%22	https://preview.colorlib.com/theme/fashiop/vendors/nice-select/js/jquery.nice-select.min.js	C:/My%20Web%20Sites/bout/preview.colorlib.com/theme/fashiop/vendors/nice-select/js/jquery.nice-select.min.js	(from https://preview.colorlib.com/theme/fashiop/)
